age,portalName,portalAddress,oldOwner,hunter,dtg
261,"Old Guide's Cemetery","Mammoth Cave National Park, 792 Beaver Dam Chapel Road, Mammoth Cave, KY 42259, USA","Beameer","Semiotiq","2017-02-17 14:54:51"
64,"Greenfield Rest Area","Anton Tony Hulman Junior Memorial Way, Greenfield, IN 46140, USA","BlackJiac","Semiotiq","2017-02-20 05:57:14"
64,"Blue Star Memorial Highway ","Anton Tony Hulman Junior Memorial Way, Greenfield, IN 46140, USA","BlackJiac","Semiotiq","2017-02-20 05:57:51"
103,"Ohio Turnpike Water Tower","9200 Limeridge Road, Mantua, OH 44255, USA","WhatsAfranc0","Semiotiq","2017-02-26 09:16:28"
84,"Memorial Wall","Niles, OH, USA","5ASSY","Semiotiq","2017-02-26 10:48:45"
94,"Total Equipment Mural","500-532 Gibson Drive, Moon, PA 15108, USA","moses423","Semiotiq","2017-02-28 15:25:23"
92,"North Boro's Sportsmen's Association ","North Borough Sportsmen Club, Baden, PA 15005, USA","BigSilky","Semiotiq","2017-03-01 00:51:09"
103,"R M U Indoor Golf Driving Range","7600 Grand Avenue, Pittsburgh, PA 15225, USA","moses423","Semiotiq","2017-03-01 01:37:17"
121,"Church of Christ","616 George Street, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-01 11:21:47"
389,"PA State Gamelands #203","2644 State Gamelands Road, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 12:05:24"
172,"Calvary Hill","Interstate 79, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 13:09:24"
273,"Covenant Community Church","Interstate 79, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 13:12:29"
109,"Old Economy Park","11 Forcey Drive, Baden, PA 15005, USA","BigSilky","Semiotiq","2017-03-01 14:40:17"
355,"Angel Statue","96 Fairview Avenue, Ambridge, PA 15003, USA","BigSilky","Semiotiq","2017-03-01 14:55:15"
167,"Esther G. Allen Trail","382-482 U.S. 30, Clinton, PA 15026, USA","vwratt","Semiotiq","2017-03-02 11:59:32"
342,"Raccoon Creek State Park Shafer Rock","154 Patterson Farm Road, Clinton, PA 15026, USA","Azmael","Semiotiq","2017-03-02 12:15:41"
342,"Raccoon Creek State Park Old Field Trail","154 Patterson Farm Road, Clinton, PA 15026, USA","Azmael","Semiotiq","2017-03-02 12:16:56"
168,"Coraopolis Gardens","915-929 Pennsylvania Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-04 13:25:12"
146,"St. Paul AME Zion Church","601 5th Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-04 13:30:10"
61,"Blackburn United Methodist Church","910 Blackburn Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-03-04 15:46:56"
75,"Franklin Park Baptist ","2470 Nicholson Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-03-04 16:20:23"
169,"Coraopolis Memorial Library","601 School Street, Coraopolis, PA 15108, United States","Lipphil","Semiotiq","2017-03-04 21:12:36"
169,"Coraopolis Historical Society","1200-1222 State Avenue, Coraopolis, PA","Lipphil","Semiotiq","2017-03-04 21:12:39"
169,"Coraopolis United Methodist Church ","1205 Ridge Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-04 21:17:12"
108,"Faith United Methodist Church","316-398 Fairmont Avenue, Fairmont, WV 26554, USA","Vivisjuggernaut","Semiotiq","2017-03-07 14:41:57"
88,"Friends of the Lewis House Inc","17 Oak Hill Avenue, Oak Hill, WV 25901, USA","chase398","Semiotiq","2017-03-07 19:31:07"
62,"Circle K 1020 Peppers Ferry Rd.","1020 Peppers Ferry Rd.,Wytheville,VA,US,24382","BlackJiac","Semiotiq","2017-03-07 21:50:14"
76,"TWP Church","2301-2565 Spring Glen Road, Jacksonville, FL 32207, USA","BonnieLass1969","Semiotiq","2017-03-09 20:30:48"
66,"RIDC Park","216 RIDC Park West Drive, Coraopolis, PA 15108, USA","InLikeTim","Semiotiq","2017-03-11 15:04:47"
128,"Calvary Church Of The Nazarene","102 Evans Street, Brookville, PA 15825, USA","B5254T2","Semiotiq","2017-03-11 20:47:07"
62,"Uniontown Soldier Memorial","145 East Main Street, Uniontown, PA 15401, USA","TACNextGen","Semiotiq","2017-03-12 16:58:16"
62,"George C. Marshall","142-144 W Main St, Uniontown, PA","TACNextGen","Semiotiq","2017-03-12 16:58:21"
62,"George C Marshall Plaza Statue","157-173 West Main Street, Uniontown, PA 15401, USA","TACNextGen","Semiotiq","2017-03-12 16:59:49"
256,"Twin Lakes Park","County Road, Greensburg, PA 15601, USA","slipkid","Semiotiq","2017-03-15 17:10:12"
92,"Second United Presbyterian Church","300 Hay St, Pittsburgh, PA","karpouzaki","Semiotiq","2017-03-18 22:39:47"
92,"Biddle's Escape","401 Biddle Avenue, Pittsburgh, PA 15221, USA","KatrinaThorn","Semiotiq","2017-03-18 22:42:50"
92,"Mifflin Ave United Methodist","905 Mifflin Avenue, Pittsburgh, PA","karpouzaki","Semiotiq","2017-03-18 22:47:28"
87,"Temple Sinai Menorah","5531 Forbes Avenue, Pittsburgh, PA 15217, USA","Moses8080","Semiotiq","2017-03-18 23:21:39"
66,"Squirrel Hill Mural","2229 Murray Ave, Pittsburgh, PA","loopqool","Semiotiq","2017-03-19 13:06:35"
66,"All in a Day Mural","2342 Eldridge St, Pittsburgh, PA","loopqool","Semiotiq","2017-03-19 13:08:16"
151,"Knoxville Presbyterian Church","148-198 Jucunda Street, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-03-19 13:47:01"
151,"Knoxville Christian Church","Charles St at Knox Ave, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-03-19 13:47:23"
119,"Victorious Life Church ","214 Frye Farm Road, Greensburg, PA 15601, USA","patorobap","Semiotiq","2017-03-19 22:00:07"
63,"Youngwood Area Public Library","10 S 7th St, Youngwood, PA 15697, USA","freshness16025","Semiotiq","2017-03-19 23:18:41"
63,"Christ United Methodist Church","100 Lincoln Street, Youngwood, PA 15697, USA","freshness16025","Semiotiq","2017-03-19 23:36:26"
61,"Bible Baptist Temple","1415 Worthington Avenue, Clairton, PA 15025, USA","canaglaucus","Semiotiq","2017-03-21 20:37:47"
105,"US Post Office","1615 Pennsylvania 51, Jefferson Hills, PA 15025, USA","BlueRose0427","Semiotiq","2017-03-21 20:41:46"
191,"Castle Shannon Historical Msm","1003 Castle Shannon Boulevard, Castle Shannon, PA 15234, United States","slipkid","Semiotiq","2017-03-21 22:53:04"
119,"Bird Park","100-198 Beadling Road, Mount Lebanon, PA 15228, USA","RobSimpson","Semiotiq","2017-03-21 23:01:26"
277,"American Legion Post 447","301-303 Gumbert Street, McKeesport, PA 15133, USA","koumorileo","Semiotiq","2017-03-22 04:51:29"
125,"Mt. Olive Baptist Church ","1207 Hiland Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-22 12:25:11"
151,"Savannah Springs","1415 5th Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-22 19:45:23"
191,"Riverfront Park","1223 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-26 19:25:07"
191,"Susie Letteri Park","103 Broadway Street, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-26 19:28:30"
86,"Coraopolis Post Office","914 5th Avenue, Coraopolis, PA 15108, United States","moses423","Semiotiq","2017-03-26 19:43:13"
193,"St. Joseph Rectory","1300-1398 Pennsylvania 51, Coraopolis, PA 15108, USA","vwratt","Semiotiq","2017-03-27 13:17:56"
155,"Charis247 Community Church","1323 State Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-27 14:15:12"
191,"Ronald L. Bliwas Field","2-98 Mulberry Street, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:23:52"
191,"Shelley Y. Jones Memorial Basketball Court","1001-1025 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:26:59"
191,"Whosoever Wills Christian and Missionary Alliance Church","878 1st Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:30:58"
191,"Coraopolis Volunteer Fire Department","1015 State Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-27 14:49:12"
193,"Jesus, Class of 1958","1301 5th Avenue, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-28 19:15:20"
154,"Zion Lutheran Church","501-599 Chestnut Street, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-28 19:20:18"
193,"St. Joseph Roman Catholic Church ","1301-1399 Pennsylvania 51, Coraopolis, PA 15108, USA","Lipphil","Semiotiq","2017-03-29 05:52:07"
69,"First Christian Church ","40-42 Raymond Street, Dravosburg, PA 15034, USA","Yinzer81","Semiotiq","2017-03-29 14:16:39"
152,"Dravosburg Volunteer Fire Department","1207 Luscombe Lane, Dravosburg, PA 15034, United States","Shadowdancer1","Semiotiq","2017-03-29 14:26:27"
122,"Sodini Parklet Commemoration Plaque ","1082-1098 Highway 121, Pittsburgh, PA 15220, USA","ivanrussell","Semiotiq","2017-04-01 15:02:49"
93,"Sodini Parklet","1094-1098 Greentree Road, Pittsburgh, PA 15220, USA","ivanrussell","Semiotiq","2017-04-01 15:02:55"
71,"Welcome to Green Tree","921-923 Greentree Road, Pittsburgh, PA 15220, USA","Dezi227","Semiotiq","2017-04-01 15:14:40"
71,"Hunt Stained Glass Statues","1668-1758 Lincoln Highway, Pittsburgh, PA 15219, USA","missi0731","Semiotiq","2017-04-01 15:54:46"
101,"Allegheny County Traffic Grade Separation","1300-1404 West Liberty Avenue, Pittsburgh, PA 15226, USA","camillabella","Semiotiq","2017-04-01 16:29:21"
145,"Presbyterian Church of Coraopolis","1201 5th Avenue, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-04-02 11:20:56"
199,"Coraopolis Community Garden","1210 4th Avenue, Coraopolis, PA 15108, USA","vwratt","Semiotiq","2017-04-02 11:24:58"
198,"In Memory of Leonard Cahen ","401 Mill Street, Coraopolis, PA 15108, USA","steelcityjas","Semiotiq","2017-04-02 11:29:45"
197,"Mill Street Train Station","310-314 Mill Street, Coraopolis, PA","Lipphil","Semiotiq","2017-04-02 11:33:03"
198,"Borough of Coraopolis","1009-1015 5th Avenue, Coraopolis, PA","missi0731","Semiotiq","2017-04-02 18:48:45"
91,"Bell Acres Nature Trail ","153-191 Turkey Foot Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-04-03 13:27:23"
73,"Oakdale Memorial Pavilion","28 Clinton Avenue, Oakdale, PA 15071, USA","Marcus723","Semiotiq","2017-04-03 22:45:17"
73,"United States Post Office Oakdale","27-39 Union Avenue, Oakdale, PA 15071, USA","Marcus723","Semiotiq","2017-04-03 22:47:49"
73,"The Rock Church","5090-5106 Highland Avenue South, Oakdale, PA 15071, USA","Marcus723","Semiotiq","2017-04-03 22:55:39"
73,"The Rock Church Youth Center","1-3 Robinson Street, Oakdale, PA 15071, USA","Marcus723","Semiotiq","2017-04-03 22:55:45"
91,"Congregation Poale Zedeck","2247-2251 Shady Avenue, Pittsburgh, PA 15217, USA","karpouzaki","Semiotiq","2017-04-04 12:01:12"
80,"Shapiro Educational Center","6322 Phillips Avenue, Pittsburgh, PA 15217, USA","silentzig","Semiotiq","2017-04-04 12:01:35"
72,"First Trinity Lutheran Church","531 North Neville Street, Pittsburgh, PA 15213, USA","KatrinaThorn","Semiotiq","2017-04-08 17:48:52"
72,"D'Arlington Apartments","504 North Neville Street, Pittsburgh, PA 15213, USA","KatrinaThorn","Semiotiq","2017-04-08 17:50:06"
112,"First Church of Christ, Scientist","201 North Dithridge Street, Pittsburgh, PA 15213, USA","Docjeed","Semiotiq","2017-04-08 17:52:41"
112,"The Oratory ","4450 Bayard Street, Pittsburgh, PA 15213, USA","Docjeed","Semiotiq","2017-04-08 17:53:35"
72,"University Store On Fifth","5th Ave Opp Thackeray Ave, University of Pittsburgh, Pittsburgh, PA 15213, USA","EmberFox","Semiotiq","2017-04-08 17:57:43"
157,"In Memory of the Veterans of all Wars","3515-3581 Clairton Boulevard, Brentwood, PA 15227, USA","SevenHour","Semiotiq","2017-04-09 12:17:44"
70,"Zion Lutheran Church","Hwy Rt 51 at Brownsville, Brentwood, PA 15227, USA","SevenHour","Semiotiq","2017-04-09 12:24:55"
72,"GBU Bicentennial","4226-4260 Clairton Boulevard, Brentwood, PA 15227, USA","MisterMagenta","Semiotiq","2017-04-09 12:25:25"
121,"Johnston Slag Handling Equipment","6010 Mountain View Drive, West Mifflin, PA 15122, USA","canaglaucus","Semiotiq","2017-04-09 12:42:48"
167,"Duquesne Annex FD #2","1620 Pennsylvania Avenue, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-04-09 13:21:24"
163,"Holy Name Cemetery ","1501-1599 Willard Avenue, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-04-10 19:51:02"
88,"Wilkinsburg Station Mural","20-98 Sawyer Way, Wilkinsburg, PA 15221, USA","KatrinaThorn","Semiotiq","2017-04-10 21:47:50"
86,"A Lasting Tribute  ","2-10 Old Clairton Road, Pleasant Hills, PA 15236, USA","SilverLight7","Semiotiq","2017-04-10 22:32:26"
98,"McClintock #1 Oil Well","Three Rivers Heritage Trail, Pittsburgh, PA 15219, USA","Goblin13","Semiotiq","2017-04-11 15:56:06"
141,"Port Hole","Three Rivers Heritage Trail, Pittsburgh, PA 15219, USA","bocoroth","Semiotiq","2017-04-11 15:58:00"
126,"Blast Furnace Bellows, Station","Three Rivers Heritage Trail, Pittsburgh, PA 15219, USA","bocoroth","Semiotiq","2017-04-11 16:04:02"
65,"North Hill Club Gazabo ","702 Lincoln Club Drive, Pittsburgh, PA 15237, USA","TweedleDitz","Semiotiq","2017-04-12 22:17:05"
65,"Reformed Presbyterian Church of the North Hills","600-602 Thompson Run Road, Pittsburgh, PA 15237, USA","missi0731","Semiotiq","2017-04-12 22:29:21"
62,"Living Dead Museum","231 East Main Street, Evans City, PA 16033, USA","IronTiger216","Semiotiq","2017-04-23 15:25:27"
62,"Fallen Heroes Memorial","Center Alley, Evans City, PA 16033, USA","IronTiger216","Semiotiq","2017-04-23 15:27:37"
64,"Bud Hammer Playground","140-198 Bigelow Street, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-04-24 14:01:10"
78,"Hot Metal Bridge Faith Community","51 South 27th Street, Pittsburgh, PA 15203, USA","gwenix","Semiotiq","2017-04-24 17:20:04"
70,"US Post Office","129 Washington Street, Hyndman, PA 15545, United States","LordDeathstrike","Semiotiq","2017-06-11 06:21:37"
70,"Hyndman-Londonderry Library","161 Clarence Street, Hyndman, PA 15545, United States","LordDeathstrike","Semiotiq","2017-06-11 06:28:23"
102,"Elisha McCurdy","985-1091 Steubenville Pike, Burgettstown, PA","roaddog4122","Semiotiq","2017-06-23 19:12:46"
67,"Harmon Creek Community Church","1050-1092 Steubenville Pike, Burgettstown, PA 15021, USA","OnceAMoose","Semiotiq","2017-06-23 19:12:52"
362,"Small Gazebo Overlooking I -376","1001 Parkview Boulevard, Pittsburgh, PA 15217, USA","Moses8080","Semiotiq","2017-06-25 11:26:48"
66,"Frick Environmental trailhead shelter","6678-7194 Forbes Avenue, Pittsburgh, PA 15217, USA","GenuineKC","Semiotiq","2017-06-25 11:39:43"
127,"Child Shepherd","3000 Naomi, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-06-25 19:20:27"
74,"Ordained Priest","Longview Street, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-06-25 21:40:40"
63,"Kanai Funeral Home","4000-4014 Lydia Street, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-06-26 02:05:35"
61,"Bud Hammer Playground","140-198 Bigelow Street, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-06-26 03:41:21"
153,"Saint John's Cathedral Byzantine Catholic Cemetery","2400-2414 Main Street, Munhall, PA 15120, USA","slipkid","Semiotiq","2017-07-01 13:49:34"
67,"Hazelwood YMCA","4701 Chatsworth Avenue, Pittsburgh, PA 15207, USA","ksquigg2","Semiotiq","2017-07-02 07:54:52"
186,"Tappan Lake Park","Tappan Lake Park Road, Cadiz, OH 43907, USA","NoRemorse4U","Semiotiq","2017-07-07 13:01:24"
186,"The Moravian Trail","Rock Street, Deersville, OH 44693, USA","NoRemorse4U","Semiotiq","2017-07-07 13:05:55"
186,"Palestine Post Office","Palestine, IL, United States","mikearvi","Semiotiq","2017-07-08 19:09:27"
208,"Lamont Fire Department","Palestine, IL 62451, United States","mikearvi","Semiotiq","2017-07-08 19:10:41"
185,"United States Land Office","100-198 N Main St, Palestine, IL","ochsy","Semiotiq","2017-07-08 19:13:22"
450,"Hutsonville Fire Department","Hutsonville, IL 62433, United States","Brittarvi","Semiotiq","2017-07-08 19:50:04"
411,"US Post Office","107 S Main St, Hutsonville, IL 62433, USA","tmo2004","Semiotiq","2017-07-08 19:50:10"
366,"Hutsonville Public Library","107 S Main St, Hutsonville, IL 62433, USA","mikearvi","Semiotiq","2017-07-08 19:53:07"
63,"Graysville Fire Department","Graysville, IN 47852, United States","mikearvi","Semiotiq","2017-07-08 20:03:42"
111,"Weirton Water Tower","415 Colliers Way Exd, Weirton, WV 26062, USA","fragilewitch","Semiotiq","2017-07-09 13:51:54"
111,"Weirton First Church of the Nazarene ","703 Colliers Way, Weirton, WV 26062, USA","fragilewitch","Semiotiq","2017-07-09 14:07:00"
110,"Raccoon Township Municipal Park","100-198 Winford Lane, Aliquippa, PA 15001, USA","InLikeTim","Semiotiq","2017-07-09 19:10:54"
220,"Church of Christ","18497 Shortline Highway, Jacksonburg, WV 26377, USA","wvhunter","Semiotiq","2017-07-15 14:49:07"
198,"Schutz Cemetery","3133 Sheep Run, Jacksonburg, WV 26377, USA","Antitech","Semiotiq","2017-07-15 15:01:09"
182,"New Milton Post Office","1063 Meathouse Fork, New Milton, WV 26411, USA","Antitech","Semiotiq","2017-07-15 17:45:32"
61,"Hancock United Methodist Church","2-98 Methodist Avenue, Hancock, MD 21750, USA","GMBunno","Semiotiq","2017-07-20 12:01:09"
167,"River Hill United Methodist Church","515-547 Riverhill Meidahl, Parkersburg, WV 26101, USA","hellbent1957","Semiotiq","2017-08-19 10:37:35"
167,"Fairlawn Baptist Church","Dupont Road & U.S. 50, Parkersburg, WV 26101, USA","hellbound1958","Semiotiq","2017-08-19 10:45:18"
92,"The Church in Pittsburgh","7112 Penn Avenue, Pittsburgh, PA 15208, USA","sparrowactual","Semiotiq","2017-09-03 08:30:14"
72,"Jane Grey Swisshelm","623 Greendale Ave, Pittsburgh, PA","GenuineKC","Semiotiq","2017-09-16 19:23:54"
107,"Historic Firestone Building","215 East 20th Street, Kansas City, MO 64108, USA","terran1701","Semiotiq","2017-09-21 10:31:07"
252,"Working Families' Friend","1051-1069 Pennsylvania Avenue, Kansas City, MO 64105, USA","baselowkey","Semiotiq","2017-09-21 11:12:40"
90,"Historic Dickerton Building","601-653 West 11th Street, Kansas City, MO 64105, USA","baselowkey","Semiotiq","2017-09-21 11:15:58"
